p p_est sigG sigG_est
0.005 0.1232 0.0001 0.0002493
0.005 0.0935 0.001 0.0003482
0.05 0.1284 0.0001 0.0002667
0.05 0.0505 0.001 0.001368
0.005 0.0981 0.0001 0.000319
0.005 0.0913 0.001 0.0003667
0.05 0.1226 0.0001 0.0002804
0.05 0.0507 0.001 0.001393
0.005 0.1076 0.0001 0.0002841
0.005 0.0886 0.001 0.0003881
0.05 0.1335 0.0001 0.0002626
0.05 0.0516 0.001 0.001468
0.005 0.1131 0.0001 0.0002651
0.005 0.1017 0.001 0.0003167
0.05 0.1292 0.0001 0.0002599
0.05 0.0501 0.001 0.001341
0.005 0.1300 0.0001 0.0002338
0.005 0.1085 0.001 0.0003002
0.05 0.1330 0.0001 0.0002498
0.05 0.0531 0.001 0.001199
0.005 0.1190 0.0001 0.0002576
0.005 0.0996 0.001 0.0003289
0.05 0.1343 0.0001 0.0002534
0.05 0.0499 0.001 0.001417
0.005 0.1143 0.0001 0.0002685
0.005 0.0987 0.001 0.0003493
0.05 0.1385 0.0001 0.0002441
0.05 0.0537 0.001 0.001286
0.005 0.1194 0.0001 0.0002524
0.005 0.1037 0.001 0.0003093
0.05 0.1323 0.0001 0.0002519
0.05 0.0546 0.001 0.001115
0.005 0.1195 0.0001 0.0002594
0.005 0.0938 0.001 0.0003672
0.05 0.1346 0.0001 0.000252
0.05 0.0515 0.001 0.00121
0.005 0.1174 0.0001 0.0002637
0.005 0.1101 0.001 0.0003022
0.05 0.1410 0.0001 0.0002466
0.05 0.0547 0.001 0.001293
0.005 0.1024 0.0001 0.0002911
0.005 0.0987 0.001 0.0003301
0.05 0.1304 0.0001 0.0002562
0.05 0.0525 0.001 0.001239
0.005 0.0937 0.0001 0.0003263
0.005 0.0817 0.001 0.0004013
0.05 0.1220 0.0001 0.0002804
0.05 0.0444 0.001 0.001574
0.005 0.1238 0.0001 0.0002464
0.005 0.1075 0.001 0.0003068
0.05 0.1335 0.0001 0.0002521
0.05 0.0513 0.001 0.001233
0.005 0.1133 0.0001 0.0002681
0.005 0.0761 0.001 0.0004384
0.05 0.1236 0.0001 0.0002793
0.05 0.0488 0.001 0.001517
0.005 0.1056 0.0001 0.0002854
0.005 0.0903 0.001 0.0003574
0.05 0.1229 0.0001 0.0002771
0.05 0.0511 0.001 0.001325
0.005 0.1230 0.0001 0.0002488
0.005 0.1099 0.001 0.0003094
0.05 0.1407 0.0001 0.0002459
0.05 0.0552 0.001 0.001274
0.005 0.1162 0.0001 0.0002579
0.005 0.0990 0.001 0.0003197
0.05 0.1355 0.0001 0.0002498
0.05 0.0465 0.001 0.001458
0.005 0.1184 0.0001 0.0002582
0.005 0.0953 0.001 0.0003469
0.05 0.1368 0.0001 0.0002511
0.05 0.0487 0.001 0.00136
0.005 0.1228 0.0001 0.0002451
0.005 0.0982 0.001 0.0003319
0.05 0.1389 0.0001 0.0002416
0.05 0.0480 0.001 0.001328
0.005 0.1018 0.0001 0.0002972
0.005 0.0965 0.001 0.0003466
0.05 0.1162 0.0001 0.0002908
0.05 0.0505 0.001 0.001375
0.005 0.1133 0.0001 0.0002682
0.005 0.0883 0.001 0.0003823
0.05 0.1310 0.0001 0.0002627
0.05 0.0500 0.001 0.00143
