p p_est sigG sigG_est
0.005 0.002099 0.001 0.0009841
0.05 0.01505 0.0001 0.0001566
0.05 0.02163 0.001 0.001176
0.005 0.0008433 0.0001 0.0001135
0.005 0.00234 0.001 0.0006962
0.05 0.01998 0.0001 0.0001392
0.05 0.02371 0.001 0.001158
0.005 0.0005181 0.0001 0.0001691
0.005 0.001248 0.001 0.0008721
0.05 0.006853 0.0001 0.0002649
0.05 0.01537 0.001 0.001322
0.005 0.002064 0.0001 0.0001269
0.005 0.004849 0.001 0.0005733
0.05 0.01734 0.0001 0.0001642
0.05 0.02398 0.001 0.001188
0.005 0.001354 0.0001 0.0001022
0.005 0.002625 0.001 0.0005578
0.05 0.0161 0.0001 0.0001203
0.05 0.01913 0.001 0.001004
0.005 0.0003718 0.0001 0.0002185
0.005 0.003018 0.001 0.0005089
0.05 0.01417 0.0001 9.324e-05
0.05 0.02035 0.001 0.0007832
0.005 0.0002269 0.0001 0.0003623
0.005 0.002336 0.001 0.0006433
0.05 0.006154 0.0001 0.0002287
0.05 0.01437 0.001 0.001343
0.005 0.0003596 0.0001 0.000272
0.005 0.002016 0.001 0.0008714
0.05 0.01603 0.0001 0.0001469
0.05 0.01794 0.001 0.001425
0.005 0.004525 0.0001 3.944e-05
0.005 0.004753 0.001 0.0004012
0.05 0.008279 0.0001 0.0001914
0.05 0.01676 0.001 0.001276
0.005 0.003626 0.0001 0.0001074
0.005 0.005159 0.001 0.0006128
0.05 0.01771 0.0001 0.0001264
0.05 0.02338 0.001 0.0009702
0.005 0.008337 0.0001 4.787e-05
0.005 0.003937 0.001 0.0005685
0.05 0.02015 0.0001 0.0001007
0.05 0.02741 0.001 0.0008229
0.005 0.0003315 0.0001 0.0002442
0.005 0.003495 0.001 0.0006359
0.05 0.005849 0.0001 0.0001965
0.05 0.01203 0.001 0.001294
0.005 0.0006672 0.0001 0.0002211
0.005 0.001324 0.001 0.001468
0.05 0.00701 0.0001 0.0002379
0.05 0.01075 0.001 0.001774
0.005 0.001113 0.0001 8.098e-05
0.005 0.001978 0.001 0.0005767
0.05 0.01379 0.0001 0.0001137
0.05 0.02348 0.001 0.0007629
0.005 0.001496 0.0001 0.0002229
0.005 0.003432 0.001 0.0009821
0.05 0.01276 0.0001 0.0001666
0.05 0.02105 0.001 0.001154
0.005 0.0001552 0.0001 0.0003771
0.005 0.004384 0.001 0.0004774
0.05 0.009196 0.0001 0.0001872
0.05 0.01735 0.001 0.00118
0.005 0.0006289 0.0001 0.0003303
0.005 0.002977 0.001 0.0008619
0.05 0.01214 0.0001 0.0001202
0.05 0.01837 0.001 0.0008864
0.005 0.001616 0.0001 6.791e-05
0.005 0.003442 0.001 0.0004158
0.05 0.01346 0.0001 0.000148
0.05 0.01741 0.001 0.001286
0.005 0.001066 0.0001 0.0001624
0.005 0.00406 0.001 0.0005874
0.05 0.01283 0.0001 0.000105
0.05 0.0178 0.001 0.0007984
0.005 0.001254 0.0001 0.0001548
0.005 0.004661 0.001 0.0005646
0.05 0.005523 0.0001 0.0003915
0.05 0.008589 0.001 0.00273
0.005 0.00718 0.0001 5.423e-05
0.005 0.006107 0.001 0.0005509
0.05 0.01703 0.0001 0.0001258
0.05 0.02138 0.001 0.001051
0.005 0.002727 0.0001 0.0001317
0.005 0.002277 0.001 0.001219
0.05 0.01087 0.0001 0.0001318
0.05 0.01498 0.001 0.001169
0.005 0.001613 0.0001 0.0001256
0.005 0.006025 0.001 0.0004965
0.05 0.00774 0.0001 0.0002456
0.05 0.01339 0.001 0.001609
0.005 0.005157 0.0001 7.778e-05
0.005 0.006694 0.001 0.0004718
0.05 0.01405 0.0001 0.0001366
0.05 0.01833 0.001 0.001028
0.005 0.003992 0.0001 3.032e-05
0.005 0.003098 0.001 0.0003311
0.05 0.01378 0.0001 0.0001213
0.05 0.02024 0.001 0.0008404
0.005 0.002201 0.0001 4.756e-05
0.005 0.001994 0.001 0.0005332
0.05 0.01089 0.0001 0.0001363
0.05 0.0194 0.001 0.0009578
0.005 0.0009887 0.0001 9.808e-05
0.005 0.00272 0.001 0.0005522
0.05 0.001967 0.0001 0.0003204
0.05 0.009079 0.001 0.001544
0.005 0.001054 0.0001 0.0002762
0.005 0.003231 0.001 0.0008832
0.05 0.00382 0.0001 0.0002905
0.05 0.01625 0.001 0.001098
0.005 0.001379 0.0001 0.0001116
0.005 0.002567 0.001 0.0006887
0.05 0.01705 0.0001 0.0001368
0.05 0.0202 0.001 0.001155
0.005 0.003277 0.0001 0.0001046
