p p_est sigG sigG_est N ld varyH
0.005 0.0042 0.0001 0.0001 100000 0 0
0.005 0.0054 0.0001 0.0001 100000 0 0
0.005 0.0041 0.0001 0.0001 100000 0 0
0.005 0.0071 0.0001 0.0001 100000 0 0
0.005 0.0051 0.0001 0.0001 100000 0 0
0.005 0.0034 0.0001 0.0001 100000 0 0
0.005 0.0048 0.0001 0.0001 100000 0 0
0.005 0.0039 0.0001 0.0001 100000 0 0
0.005 0.0058 0.0001 0.0001 100000 0 0
0.005 0.0036 0.0001 0.0001 100000 0 0
0.005 0.0051 0.0001 0.0001 100000 0 0
0.01 0.0089 0.0001 0.0001 100000 0 0
0.01 0.0078 0.0001 0.0001 100000 0 0
0.01 0.0078 0.0001 0.0001 100000 0 0
0.01 0.0117 0.0001 0.0001 100000 0 0
0.01 0.0119 0.0001 0.0001 100000 0 0
0.01 0.0127 0.0001 0.0001 100000 0 0
0.01 0.0068 0.0001 0.0001 100000 0 0
0.01 0.0094 0.0001 0.0001 100000 0 0
0.01 0.0099 0.0001 0.0001 100000 0 0
0.01 0.0102 0.0001 0.0001 100000 0 0
0.01 0.0095 0.0001 0.0001 100000 0 0
0.01 0.0093 0.0001 0.0001 100000 0 0
0.01 0.0086 0.0001 0.0001 100000 0 0
0.01 0.0118 0.0001 0.0001 100000 0 0
0.01 0.0106 0.0001 0.0001 100000 0 0
0.01 0.0114 0.0001 0.0001 100000 0 0
0.01 0.0094 0.0001 0.0001 100000 0 0
0.01 0.0062 0.0001 0.0001 100000 0 0
0.01 0.0076 0.0001 0.0001 100000 0 0
0.01 0.0101 0.0001 0.0001 100000 0 0
0.01 0.0076 0.0001 0.0001 100000 0 0
0.01 0.0130 0.0001 0.0001 100000 0 0
0.01 0.0106 0.0001 0.0001 100000 0 0
0.01 0.0093 0.0001 0.0001 100000 0 0
0.01 0.0097 0.0001 0.0001 100000 0 0
0.01 0.0090 0.0001 0.0001 100000 0 0
0.01 0.0126 0.0001 0.0001 100000 0 0
0.01 0.0133 0.0001 0.0001 100000 0 0
0.01 0.0102 0.0001 0.0001 100000 0 0
0.01 0.0117 0.0001 0.0001 100000 0 0
0.01 0.0078 0.0001 0.0001 100000 0 0
0.01 0.0092 0.0001 0.0001 100000 0 0
0.01 0.0112 0.0001 0.0001 100000 0 0
0.01 0.0084 0.0001 0.0001 100000 0 0
0.01 0.0124 0.0001 0.0001 100000 0 0
0.01 0.0077 0.0001 0.0001 100000 0 0
0.01 0.0121 0.0001 0.0001 100000 0 0
0.01 0.0107 0.0001 0.0001 100000 0 0
0.01 0.0120 0.0001 0.0001 100000 0 0
0.01 0.0089 0.0001 0.0001 100000 0 0
0.01 0.0070 0.0001 0.0001 100000 0 0
0.01 0.0087 0.0001 0.0001 100000 0 0
0.01 0.0095 0.0001 0.0001 100000 0 0
0.01 0.0074 0.0001 0.0001 100000 0 0
0.01 0.0083 0.0001 0.0001 100000 0 0
0.01 0.0109 0.0001 0.0001 100000 0 0
0.01 0.0096 0.0001 0.0001 100000 0 0
0.01 0.0089 0.0001 0.0001 100000 0 0
0.01 0.0083 0.0001 0.0001 100000 0 0
0.01 0.0067 0.0001 0.0001 100000 0 0
0.01 0.0135 0.0001 0.0001 100000 0 0
0.01 0.0073 0.0001 0.0001 100000 0 0
0.01 0.0129 0.0001 0.0001 100000 0 0
0.01 0.0063 0.0001 0.0001 100000 0 0
0.01 0.0071 0.0001 0.0001 100000 0 0
0.01 0.0095 0.0001 0.0001 100000 0 0
0.01 0.0111 0.0001 0.0001 100000 0 0
0.01 0.0132 0.0001 0.0001 100000 0 0
0.01 0.0110 0.0001 0.0001 100000 0 0
0.01 0.0097 0.0001 0.0001 100000 0 0
0.01 0.0079 0.0001 0.0001 100000 0 0
0.01 0.0079 0.0001 0.0001 100000 0 0
0.01 0.0073 0.0001 0.0001 100000 0 0
0.01 0.0107 0.0001 0.0001 100000 0 0
0.01 0.0121 0.0001 0.0001 100000 0 0
0.01 0.0073 0.0001 0.0001 100000 0 0
0.01 0.0083 0.0001 0.0001 100000 0 0
0.01 0.0129 0.0001 0.0001 100000 0 0
0.01 0.0087 0.0001 0.0001 100000 0 0
0.01 0.0123 0.0001 0.0001 100000 0 0
0.01 0.0095 0.0001 0.0001 100000 0 0
0.01 0.0115 0.0001 0.0001 100000 0 0
0.01 0.0100 0.0001 0.0001 100000 0 0
0.01 0.0075 0.0001 0.0001 100000 0 0
0.01 0.0061 0.0001 0.0001 100000 0 0
0.01 0.0081 0.0001 0.0001 100000 0 0
0.01 0.0100 0.0001 0.0001 100000 0 0
0.01 0.0141 0.0001 0.0001 100000 0 0
0.01 0.0091 0.0001 0.0001 100000 0 0
0.01 0.0102 0.0001 0.0001 100000 0 0
0.01 0.0090 0.0001 0.0001 100000 0 0
0.01 0.0120 0.0001 0.0001 100000 0 0
0.01 0.0098 0.0001 0.0001 100000 0 0
0.01 0.0120 0.0001 0.0001 100000 0 0
0.01 0.0124 0.0001 0.0001 100000 0 0
0.01 0.0110 0.0001 0.0001 100000 0 0
0.01 0.0099 0.0001 0.0001 100000 0 0
0.01 0.0078 0.0001 0.0001 100000 0 0
0.01 0.0149 0.0001 0.0001 100000 0 0
0.01 0.0125 0.0001 0.0001 100000 0 0
0.01 0.0125 0.0001 0.0001 100000 0 0
0.01 0.0108 0.0001 0.0001 100000 0 0
0.01 0.0092 0.0001 0.0001 100000 0 0
0.01 0.0090 0.0001 0.0001 100000 0 0
0.01 0.0088 0.0001 0.0001 100000 0 0
0.01 0.0100 0.0001 0.0001 100000 0 0
0.01 0.0066 0.0001 0.0001 100000 0 0
0.01 0.0108 0.0001 0.0001 100000 0 0
0.01 0.0091 0.0001 0.0001 100000 0 0
0.01 0.0112 0.0001 0.0001 100000 0 0
0.05 0.0462 0.0001 0.0001 100000 0 0
0.05 0.0534 0.0001 0.0001 100000 0 0
0.05 0.0494 0.0001 0.0001 100000 0 0
0.05 0.0540 0.0001 0.0001 100000 0 0
0.05 0.0539 0.0001 0.0001 100000 0 0
0.05 0.0520 0.0001 0.0001 100000 0 0
0.05 0.0438 0.0001 0.0001 100000 0 0
0.05 0.0495 0.0001 0.0001 100000 0 0
0.05 0.0453 0.0001 0.0001 100000 0 0
0.05 0.0495 0.0001 0.0001 100000 0 0
0.05 0.0488 0.0001 0.0001 100000 0 0
0.05 0.0474 0.0001 0.0001 100000 0 0
0.05 0.0423 0.0001 0.0001 100000 0 0
0.05 0.0457 0.0001 0.0001 100000 0 0
0.05 0.0554 0.0001 0.0001 100000 0 0
0.05 0.0488 0.0001 0.0001 100000 0 0
0.05 0.0483 0.0001 0.0001 100000 0 0
0.05 0.0449 0.0001 0.0001 100000 0 0
0.05 0.0462 0.0001 0.0001 100000 0 0
0.05 0.0519 0.0001 0.0001 100000 0 0
0.05 0.0488 0.0001 0.0001 100000 0 0
0.05 0.0511 0.0001 0.0001 100000 0 0
0.05 0.0574 0.0001 0.0001 100000 0 0
0.05 0.0573 0.0001 0.0001 100000 0 0
0.05 0.0482 0.0001 0.0001 100000 0 0
0.05 0.0495 0.0001 0.0001 100000 0 0
0.05 0.0527 0.0001 0.0001 100000 0 0
0.05 0.0589 0.0001 0.0001 100000 0 0
0.05 0.0476 0.0001 0.0001 100000 0 0
0.05 0.0544 0.0001 0.0001 100000 0 0
0.05 0.0486 0.0001 0.0001 100000 0 0
0.05 0.0545 0.0001 0.0001 100000 0 0
0.05 0.0506 0.0001 0.0001 100000 0 0
0.05 0.0464 0.0001 0.0001 100000 0 0
0.05 0.0512 0.0001 0.0001 100000 0 0
0.05 0.0469 0.0001 0.0001 100000 0 0
0.05 0.0542 0.0001 0.0001 100000 0 0
0.05 0.0478 0.0001 0.0001 100000 0 0
0.05 0.0521 0.0001 0.0001 100000 0 0
0.05 0.0570 0.0001 0.0001 100000 0 0
0.05 0.0497 0.0001 0.0001 100000 0 0
0.05 0.0471 0.0001 0.0001 100000 0 0
0.05 0.0546 0.0001 0.0001 100000 0 0
0.05 0.0515 0.0001 0.0001 100000 0 0
0.05 0.0438 0.0001 0.0001 100000 0 0
0.05 0.0432 0.0001 0.0001 100000 0 0
0.05 0.0521 0.0001 0.0001 100000 0 0
0.05 0.0493 0.0001 0.0001 100000 0 0
0.05 0.0462 0.0001 0.0001 100000 0 0
0.05 0.0458 0.0001 0.0001 100000 0 0
0.05 0.0515 0.0001 0.0001 100000 0 0
0.05 0.0493 0.0001 0.0001 100000 0 0
0.05 0.0550 0.0001 0.0001 100000 0 0
0.05 0.0464 0.0001 0.0001 100000 0 0
0.05 0.0493 0.0001 0.0001 100000 0 0
0.05 0.0480 0.0001 0.0001 100000 0 0
0.05 0.0550 0.0001 0.0001 100000 0 0
0.05 0.0484 0.0001 0.0001 100000 0 0
0.05 0.0514 0.0001 0.0001 100000 0 0
0.05 0.0508 0.0001 0.0001 100000 0 0
